ensembl_gene_id	BE1	KAN	NBLW	CHLA122	CHLA15	BE2	KANR	NBLWR	CHLA136	CHLA20
ENSG00000227232	12	12	18	7	22	23	9	16	9	9
ENSG00000241860	1	7	2	1	1	0	5	8	5	2
ENSG00000279457	41	33	21	32	51	34	41	41	23	27
ENSG00000228463	8	2	14	12	13	5	4	20	5	13
ENSG00000237094	1	5	14	3	3	2	7	29	10	3
ENSG00000225630	1066	1086	962	1156	1533	1745	1477	1378	1105	1003
ENSG00000237973	110	106	114	75	145	109	148	141	112	160
ENSG00000229344	3	9	8	5	7	10	4	9	8	5
ENSG00000248527	2028	1901	1990	1266	2793	2474	1710	3229	1808	1804
ENSG00000198744	3	4	7	4	7	10	3	14	5	14
ENSG00000224956	1	3	0	1	1	1	3	1	4	1
ENSG00000235373	0	7	1	4	5	2	8	6	5	3
ENSG00000228327	8	11	8	7	12	16	12	15	16	13
ENSG00000237491	19	8	21	15	21	12	24	16	7	14
ENSG00000230092	4	4	8	7	16	8	15	7	2	8
ENSG00000228794	96	166	269	186	301	120	190	204	207	245
ENSG00000225880	11	11	15	11	8	10	21	8	10	9
ENSG00000272438	25	27	55	44	46	9	19	63	37	64
ENSG00000230699	110	199	261	200	275	59	124	314	181	401
ENSG00000223764	106	213	398	294	369	87	112	175	406	335
ENSG00000187634	171	431	1498	847	986	112	211	570	734	1445
ENSG00000188976	575	901	1803	688	2101	1526	594	776	833	1324
ENSG00000187961	220	265	686	554	655	472	165	306	594	349
ENSG00000187583	17	24	4	102	3	1	6	19	9	0
ENSG00000187642	14	8	2	11	2	3	4	5	16	0
ENSG00000272512	25	20	18	80	13	0	26	32	42	3
ENSG00000188290	76	135	208	252	87	3	117	224	250	7
ENSG00000187608	18	36	20	25	23	2	16	43	53	11
ENSG00000188157	472	1339	864	1816	1038	167	745	1312	1513	258
ENSG00000131591	232	298	459	228	519	318	244	345	277	344
ENSG00000186827	1	1	2	2	1	1	0	5	0	2
ENSG00000078808	396	441	1042	393	1244	851	396	552	601	667
ENSG00000176022	111	206	489	125	439	200	121	334	130	264
ENSG00000184163	2	10	9	7	11	19	4	9	6	1
ENSG00000260179	8	11	7	10	13	10	9	10	6	2
ENSG00000160087	304	333	581	260	685	616	362	326	334	466
ENSG00000230415	12	15	8	14	14	15	6	20	12	6
ENSG00000162572	102	153	77	117	77	134	72	124	105	77
ENSG00000131584	2016	1981	3156	1871	3716	2560	1260	2433	2104	2224
ENSG00000169972	65	76	204	46	252	168	59	95	58	186
ENSG00000127054	793	761	879	891	1408	1684	578	919	853	881
ENSG00000240731	68	46	42	64	63	104	42	85	49	52
ENSG00000224051	54	77	101	58	154	105	35	76	82	75
ENSG00000169962	3	4	2	8	3	4	2	15	12	4
ENSG00000107404	307	372	840	301	1076	969	230	501	378	549
ENSG00000162576	118	8	14	9	670	43	7	142	16	191
ENSG00000175756	245	466	843	261	980	677	312	375	461	618
ENSG00000221978	1678	1604	3014	1693	3995	4408	2004	1792	1921	2536
ENSG00000224870	149	152	243	116	312	169	124	186	173	162
ENSG00000242485	422	543	847	313	971	751	353	367	454	821
ENSG00000272455	51	21	21	21	36	36	42	40	41	19
ENSG00000235098	16	6	9	75	79	7	18	6	34	15
ENSG00000225285	2	0	0	4	5	2	1	9	0	3
ENSG00000179403	27	34	24	35	93	60	21	57	29	68
ENSG00000215915	16	2	6	2	27	6	4	21	8	10
ENSG00000160072	328	405	896	406	888	461	302	491	472	555
ENSG00000197785	113	221	648	130	669	302	155	232	238	452
ENSG00000205090	66	71	94	52	126	82	42	66	51	62
ENSG00000160075	652	769	1294	505	1238	1146	759	757	581	954
ENSG00000215014	1	3	7	1	9	2	6	3	5	1
ENSG00000228594	76	89	180	128	202	104	46	229	138	63
ENSG00000272106	155	71	61	101	58	72	69	87	80	33
ENSG00000197530	238	244	364	291	591	454	155	308	327	305
ENSG00000189409	2	3	4	3	1	2	0	5	6	4
ENSG00000248333	202	221	381	236	528	407	210	194	290	364
ENSG00000272004	1	4	7	1	4	2	4	6	4	5
ENSG00000189339	607	786	1052	554	1288	1102	598	585	837	667
ENSG00000008128	23	38	0	42	98	44	50	1	55	54
ENSG00000268575	160	106	0	116	139	141	126	1	104	95
ENSG00000227775	4	4	0	2	1	5	2	0	2	4
ENSG00000215790	101	128	36	76	149	138	160	23	105	86
ENSG00000008130	384	468	940	328	1057	985	341	484	363	821
ENSG00000078369	2935	4458	8889	3812	9990	7367	3457	4674	4517	6210
ENSG00000231050	4	3	5	5	3	9	3	4	9	6
ENSG00000169885	1	11	7	3	7	6	6	2	8	4
ENSG00000178821	1	2	4	14	7	15	0	4	18	12
ENSG00000187730	0	0	0	0	13	0	0	0	0	19
ENSG00000067606	191	287	477	137	732	590	105	263	162	418
ENSG00000182873	16	16	39	38	53	36	21	36	54	18
ENSG00000162585	244	365	482	308	744	505	199	425	362	408
ENSG00000157933	393	600	1236	400	1488	1163	287	653	507	980
ENSG00000116151	93	84	128	123	153	145	70	95	86	101
ENSG00000269896	27	30	27	11	22	20	17	19	15	15
ENSG00000272420	4	6	5	9	5	3	8	5	4	8
ENSG00000157916	587	649	1159	549	1240	1008	676	641	751	836
ENSG00000157911	87	141	235	122	298	268	119	126	151	167
ENSG00000149527	10	7	16	879	349	827	25	98	163	193
ENSG00000224387	0	1	2	1	2	3	3	3	4	3
ENSG00000229393	1	1	4	2	3	4	2	3	5	2
ENSG00000157881	210	216	393	177	561	438	176	264	221	358
ENSG00000272449	0	2	2	3	2	4	0	7	0	0
ENSG00000157873	0	2	1	2	9	10	2	20	2	4
ENSG00000157870	171	225	441	347	757	414	97	280	311	323
ENSG00000142606	1	1	1	5	24	103	0	9	1	16
ENSG00000215912	13	10	14	13	23	18	9	14	16	16
ENSG00000130762	2	0	0	4	8	14	10	3	11	9
ENSG00000162591	155	1	11	189	201	907	24	70	16	39
ENSG00000238260	2	4	0	3	3	3	3	2	4	1
ENSG00000158109	36	65	110	85	186	104	66	90	98	90
